iter	Passed	Remaining
0	0	86
1	1	77
2	2	72
3	2	69
4	3	67
5	4	65
6	4	64
7	5	63
8	6	62
9	6	61
10	7	60
11	8	59
12	8	58
13	9	58
14	10	57
15	10	56
16	11	54
17	11	53
18	12	52
19	12	51
20	13	50
21	14	49
22	14	48
23	15	47
24	15	47
25	16	46
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	35	24
59	35	23
60	36	23
61	36	22
62	37	21
63	38	21
64	38	20
65	39	20
66	40	19
67	40	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	44	14
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
