iter	Passed	Remaining
0	149	149641
1	150	75231
2	151	50397
3	152	37934
4	153	30456
5	153	25478
6	154	21905
7	155	19231
8	155	17150
9	156	15482
10	157	14118
11	157	12985
12	158	12050
13	159	11230
14	160	10514
15	160	9886
16	161	9336
17	162	8848
18	162	8410
19	163	8014
20	164	7663
21	165	7352
22	166	7057
23	166	6783
24	167	6531
25	168	6298
26	168	6080
27	169	5880
28	170	5692
29	170	5518
30	171	5355
31	172	5211
32	173	5088
33	174	4954
34	175	4825
35	175	4705
36	176	4589
37	176	4480
38	177	4378
39	178	4282
40	179	4190
41	179	4103
42	180	4021
43	181	3942
44	182	3865
45	182	3794
46	183	3722
47	184	3653
48	184	3588
49	185	3529
50	187	3491
51	188	3433
52	189	3377
53	189	3325
54	190	3273
55	191	3222
56	191	3174
57	194	3157
58	195	3113
59	196	3071
60	197	3039
61	198	3008
62	199	2971
63	203	2971
64	203	2933
65	204	2895
66	205	2859
67	205	2822
68	208	2813
69	209	2781
70	210	2748
71	210	2717
72	211	2689
73	212	2659
74	213	2629
75	213	2600
76	214	2572
77	215	2543
78	217	2538
79	218	2511
80	219	2485
81	219	2459
82	220	2430
83	220	2406
84	221	2382
85	223	2373
86	224	2352
87	224	2330
88	225	2309
89	226	2288
90	226	2266
91	227	2245
92	228	2224
93	228	2204
94	229	2185
95	230	2167
96	232	2159
97	232	2142
98	233	2124
99	234	2106
100	234	2088
101	235	2071
102	237	2070
103	238	2055
104	239	2039
105	239	2023
106	240	2007
107	241	1992
108	241	1977
109	242	1961
110	243	1947
111	243	1932
112	244	1918
113	245	1904
114	246	1894
115	247	1883
116	247	1869
117	248	1857
118	249	1844
119	249	1830
120	250	1817
121	250	1804
122	251	1793
123	252	1784
124	253	1773
125	253	1761
126	254	1748
127	255	1738
128	255	1727
129	256	1716
130	257	1705
131	257	1694
132	258	1684
133	259	1674
134	259	1664
135	261	1660
136	262	1650
137	262	1640
138	263	1631
139	263	1621
140	264	1611
141	265	1601
142	265	1591
143	266	1582
144	266	1574
145	267	1567
146	268	1560
147	269	1552
148	270	1543
149	270	1535
150	272	1529
151	272	1521
152	273	1513
153	274	1505
154	274	1497
155	275	1492
156	276	1484
157	277	1476
158	277	1468
159	278	1460
160	278	1452
161	279	1444
162	279	1436
163	281	1434
164	282	1428
165	282	1421
166	283	1414
167	284	1406
168	284	1400
169	285	1394
170	286	1387
171	286	1380
172	287	1373
173	287	1367
174	288	1360
175	289	1353
176	289	1347
177	290	1342
178	291	1335
179	291	1329
180	292	1323
181	292	1316
182	293	1310
183	294	1304
184	294	1298
185	295	1292
186	295	1286
187	296	1280
188	297	1275
189	297	1270
190	298	1265
191	299	1259
192	299	1254
193	300	1248
194	301	1243
195	301	1237
196	302	1232
197	302	1226
198	303	1221
199	304	1216
200	305	1214
201	306	1209
202	306	1204
203	307	1199
204	308	1194
205	308	1189
206	309	1184
207	309	1179
208	310	1174
209	310	1169
210	311	1165
211	312	1161
212	313	1157
213	313	1152
214	314	1147
215	314	1143
216	315	1138
217	316	1133
218	316	1129
219	317	1124
220	317	1120
221	318	1116
222	319	1111
223	320	1108
224	320	1104
225	321	1100
226	321	1095
227	322	1091
228	323	1087
229	323	1083
230	324	1079
231	324	1075
232	325	1071
233	326	1067
234	326	1063
235	327	1059
236	327	1055
237	328	1051
238	329	1047
239	329	1044
240	330	1040
241	330	1036
242	331	1032
243	332	1028
244	332	1025
245	333	1021
246	333	1017
247	334	1013
248	335	1011
249	335	1007
250	336	1003
251	336	1000
252	337	996
253	338	992
254	338	989
255	339	985
256	339	982
257	340	979
258	341	975
259	341	972
260	342	969
261	343	966
262	343	962
263	344	959
264	344	956
265	345	952
266	345	949
267	346	946
268	347	943
269	347	939
270	348	936
271	348	933
272	349	931
273	350	928
274	350	925
275	351	922
276	352	919
277	352	916
278	353	913
279	353	910
280	354	907
281	355	904
282	355	901
283	356	898
284	356	895
285	357	892
286	358	889
287	358	886
288	359	883
289	359	880
290	360	878
291	360	875
292	361	872
293	362	869
294	362	866
295	363	863
296	363	861
297	364	858
298	365	856
299	365	853
300	366	851
301	367	848
302	367	845
303	368	843
304	368	840
305	369	838
306	370	835
307	371	833
308	371	831
309	372	829
310	373	826
311	373	824
312	374	822
313	375	820
314	376	817
315	376	815
316	377	812
317	377	810
318	378	808
319	379	806
320	380	804
321	380	801
322	381	799
323	382	797
324	382	794
325	383	792
326	384	790
327	384	788
328	385	786
329	386	784
330	386	782
331	387	779
332	388	777
333	388	775
334	389	773
335	390	770
336	390	768
337	391	766
338	391	764
339	392	762
340	393	760
341	394	758
342	394	756
343	395	754
344	396	752
345	396	750
346	397	748
347	398	746
348	398	743
349	399	741
350	400	739
351	400	738
352	401	735
353	402	733
354	402	731
355	403	729
356	403	727
357	404	725
358	405	723
359	405	721
360	406	719
361	407	717
362	407	715
363	408	713
364	409	711
365	409	710
366	410	708
367	411	706
368	411	704
369	412	702
370	413	700
371	413	698
372	414	696
373	415	694
374	415	692
375	416	690
376	416	688
377	417	687
378	418	685
379	418	683
380	419	681
381	420	679
382	420	678
383	421	676
384	422	674
385	423	673
386	423	671
387	424	669
388	425	667
389	425	665
390	426	664
391	426	662
392	427	660
393	428	658
394	428	656
395	429	655
396	430	653
397	430	651
398	431	649
399	432	648
400	432	646
401	433	644
402	434	642
403	434	641
404	435	639
405	435	637
406	436	635
407	436	634
408	437	632
409	438	630
410	439	629
411	439	627
412	440	625
413	440	623
414	441	622
415	442	620
416	442	618
417	443	617
418	444	615
419	444	614
420	445	612
421	446	610
422	446	609
423	447	607
424	447	606
425	448	604
426	449	602
427	449	601
428	450	599
429	451	597
430	451	596
431	452	594
432	453	593
433	454	592
434	454	590
435	455	589
436	456	587
437	456	585
438	457	584
439	457	582
440	458	581
441	459	579
442	459	578
443	460	576
444	460	574
445	461	573
446	462	571
447	462	570
448	463	568
449	463	566
450	464	565
451	464	563
452	465	562
453	466	560
454	466	559
455	467	557
456	468	556
457	468	554
458	469	553
459	470	551
460	470	550
461	471	548
462	471	547
463	472	545
464	472	544
465	473	542
466	474	541
467	474	539
468	475	538
469	475	536
470	476	535
471	476	533
472	477	532
473	478	530
474	478	528
475	479	527
476	479	526
477	480	524
478	481	523
479	481	521
480	482	520
481	482	519
482	483	517
483	484	516
484	484	514
485	485	513
486	485	511
487	486	510
488	487	508
489	487	507
490	488	506
491	488	504
492	489	503
493	490	502
494	491	501
495	492	500
496	492	498
497	493	497
498	494	496
499	494	494
500	496	494
501	498	494
502	499	493
503	499	491
504	500	490
505	501	489
506	501	487
507	502	486
508	502	485
509	503	483
510	504	482
511	504	481
512	505	479
513	506	478
514	506	477
515	507	475
516	507	474
517	508	473
518	509	471
519	509	470
520	510	469
521	511	468
522	512	466
523	512	465
524	513	464
525	513	463
526	514	461
527	515	460
528	515	459
529	516	458
530	517	456
531	518	455
532	519	454
533	519	453
534	520	452
535	521	451
536	522	450
537	522	448
538	523	447
539	524	446
540	524	445
541	525	443
542	526	442
543	526	441
544	527	440
545	528	439
546	528	438
547	529	436
548	530	435
549	530	434
550	531	433
551	532	431
552	532	430
553	533	429
554	533	428
555	534	427
556	535	425
557	536	424
558	537	423
559	537	422
560	538	421
561	539	420
562	540	419
563	540	418
564	541	416
565	542	415
566	543	414
567	543	413
568	544	412
569	545	411
570	545	410
571	546	408
572	547	407
573	548	406
574	549	405
575	549	404
576	550	403
577	550	402
578	551	401
579	552	399
580	552	398
581	553	397
582	554	396
583	554	395
584	555	394
585	556	392
586	556	391
587	557	390
588	558	389
589	558	388
590	559	387
591	560	385
592	560	384
593	561	383
594	561	382
595	562	381
596	563	380
597	563	379
598	564	378
599	565	376
600	566	375
601	566	374
602	567	373
603	568	372
604	568	371
605	569	370
606	569	368
607	570	367
608	571	366
609	571	365
610	572	364
611	573	363
612	573	362
613	574	361
614	575	360
615	575	358
616	576	357
617	577	356
618	577	355
619	578	354
620	579	353
621	580	352
622	580	351
623	581	350
624	582	349
625	582	348
626	583	346
627	583	345
628	584	344
629	585	343
630	585	342
631	586	341
632	587	340
633	587	339
634	588	338
635	589	337
636	589	335
637	590	334
638	590	333
639	591	332
640	591	331
641	592	330
642	593	329
643	593	328
644	594	327
645	595	326
646	595	324
647	596	323
648	596	322
649	597	321
650	598	320
651	598	319
652	599	318
653	599	317
654	600	316
655	600	315
656	601	314
657	602	313
658	603	312
659	603	310
660	604	309
661	604	308
662	605	307
663	606	306
664	606	305
665	607	304
666	608	303
667	609	302
668	610	301
669	610	300
670	611	299
671	612	298
672	612	297
673	613	296
674	613	295
675	614	294
676	615	293
677	615	292
678	617	291
679	617	290
680	618	289
681	619	288
682	619	287
683	620	286
684	621	285
685	621	284
686	623	284
687	624	283
688	624	282
689	625	281
690	626	280
691	626	279
692	627	277
693	628	276
694	628	275
695	629	274
696	630	273
697	630	272
698	631	272
699	632	271
700	633	270
701	633	268
702	634	267
703	634	266
704	635	265
705	636	264
706	636	263
707	638	263
708	639	262
709	640	261
710	640	260
711	641	259
712	642	258
713	642	257
714	643	256
715	644	255
716	644	254
717	645	253
718	645	252
719	646	251
720	647	250
721	647	249
722	648	248
723	649	247
724	649	246
725	650	245
726	650	244
727	651	243
728	652	242
729	652	241
730	653	240
731	654	239
732	655	238
733	655	237
734	656	236
735	657	235
736	657	234
737	658	233
738	659	232
739	659	231
740	660	230
741	661	229
742	662	229
743	662	228
744	663	227
745	664	226
746	664	225
747	665	224
748	666	223
749	666	222
750	667	221
751	668	220
752	669	219
753	670	218
754	670	217
755	671	216
756	672	215
757	672	214
758	673	213
759	674	212
760	674	211
761	675	210
762	676	210
763	676	209
764	677	208
765	678	207
766	678	206
767	679	205
768	680	204
769	680	203
770	681	202
771	682	201
772	682	200
773	683	199
774	684	198
775	684	197
776	685	196
777	685	195
778	686	194
779	686	193
780	687	192
781	688	191
782	688	190
783	689	189
784	689	188
785	690	187
786	691	187
787	691	186
788	692	185
789	693	184
790	694	183
791	694	182
792	695	181
793	696	180
794	696	179
795	697	178
796	697	177
797	698	176
798	699	175
799	699	174
800	700	174
801	701	173
802	701	172
803	702	171
804	702	170
805	703	169
806	704	168
807	704	167
808	705	166
809	706	165
810	706	164
811	707	163
812	708	162
813	709	162
814	709	161
815	710	160
816	710	159
817	711	158
818	712	157
819	712	156
820	713	155
821	714	154
822	714	153
823	715	152
824	716	151
825	716	150
826	717	150
827	717	149
828	718	148
829	719	147
830	719	146
831	721	145
832	721	144
833	722	143
834	723	142
835	723	141
836	724	141
837	725	140
838	725	139
839	726	138
840	727	137
841	727	136
842	728	135
843	728	134
844	729	133
845	730	132
846	730	132
847	731	131
848	732	130
849	732	129
850	733	128
851	734	127
852	736	126
853	738	126
854	738	125
855	740	124
856	740	123
857	741	122
858	742	121
859	742	120
860	743	120
861	744	119
862	744	118
863	745	117
864	746	116
865	746	115
866	747	114
867	748	113
868	749	112
869	749	112
870	750	111
871	750	110
872	751	109
873	752	108
874	752	107
875	753	106
876	754	105
877	755	104
878	755	104
879	756	103
880	757	102
881	757	101
882	758	100
883	759	99
884	759	98
885	760	97
886	761	96
887	761	96
888	762	95
889	763	94
890	764	93
891	764	92
892	765	91
893	765	90
894	766	89
895	767	89
896	767	88
897	768	87
898	769	86
899	770	85
900	770	84
901	771	83
902	771	82
903	772	82
904	773	81
905	773	80
906	774	79
907	775	78
908	775	77
909	776	76
910	776	75
911	777	75
912	778	74
913	779	73
914	779	72
915	780	71
916	780	70
917	781	69
918	782	68
919	782	68
920	783	67
921	784	66
922	784	65
923	785	64
924	786	63
925	786	62
926	787	61
927	787	61
928	788	60
929	789	59
930	790	58
931	790	57
932	791	56
933	791	55
934	792	55
935	793	54
936	793	53
937	794	52
938	795	51
939	795	50
940	796	49
941	796	49
942	797	48
943	798	47
944	798	46
945	799	45
946	800	44
947	800	43
948	801	43
949	802	42
950	802	41
951	803	40
952	803	39
953	804	38
954	805	37
955	805	37
956	806	36
957	807	35
958	807	34
959	808	33
960	808	32
961	809	31
962	810	31
963	810	30
964	811	29
965	811	28
966	812	27
967	813	26
968	813	26
969	814	25
970	815	24
971	815	23
972	816	22
973	816	21
974	817	20
975	818	20
976	818	19
977	819	18
978	820	17
979	820	16
980	821	15
981	822	15
982	822	14
983	823	13
984	823	12
985	824	11
986	825	10
987	825	10
988	826	9
989	826	8
990	827	7
991	828	6
992	828	5
993	829	5
994	830	4
995	830	3
996	831	2
997	832	1
998	832	0
999	833	0
